Date,Item Name,Low Price,Average Price,High Price
20-01-2022,ચોળા / ચોળી,231,1081,1081
20-01-2022,સોયાબીન,1151,1221,1261
20-01-2022,ગોગળી,600,956,1116
21-01-2022,કપાસ બી. ટી.,1001,1881,2051
21-01-2022,ઘઉં લોકવન,400,436,454
21-01-2022,ઘઉં ટુકડા,404,438,524
21-01-2022,મગફળી જીણી,810,1056,1171
21-01-2022,મગફળી જાડી જુની,775,1061,1161
21-01-2022,સિંગ ફાડીયા,1001,1236,1366
21-01-2022,એરંડા / એરંડી,1146,1181,1231
21-01-2022,જીરૂ,2301,3181,3361
21-01-2022,ધાણા,1501,1781,1816
21-01-2022,મરચા સૂકા પટ્ટો,551,2551,3201
21-01-2022,લસણ સુકું,121,311,451
21-01-2022,ડુંગળી લાલ,101,371,486
21-01-2022,તુવેર,950,1231,1331
21-01-2022,ધાણી,1700,1766,1901
21-01-2022,ડુંગળી સફેદ,131,276,356
21-01-2022,ચણા,826,941,951
21-01-2022,સોયાબીન,1050,1221,1246
21-01-2022,ગોગળી,631,941,1011
22-01-2022,કપાસ બી. ટી.,1001,1851,2011
22-01-2022,ઘઉં લોકવન,396,430,448
22-01-2022,ઘઉં ટુકડા,402,438,508
22-01-2022,મગફળી જીણી,815,1051,1216
22-01-2022,મગફળી જાડી જુની,780,1066,1171
22-01-2022,સિંગ ફાડીયા,900,1251,1391
22-01-2022,એરંડા / એરંડી,1161,1211,1246
22-01-2022,જીરૂ,2400,3151,3331
22-01-2022,ધાણા,1151,1751,1906
22-01-2022,મરચા સૂકા પટ્ટો,600,2651,3301
22-01-2022,લસણ સુકું,131,271,461
22-01-2022,ડુંગળી લાલ,101,371,466
22-01-2022,અડદ,501,1151,1351
22-01-2022,મઠ,1376,1671,1691
22-01-2022,તુવેર,851,1241,1331
22-01-2022,રાય,1151,1451,1451
22-01-2022,મેથી,926,1161,1291
22-01-2022,તલ - તલી,1500,2081,2191
22-01-2022,ઇસબગુલ,2121,2121,2341
22-01-2022,ધાણી,1201,1761,1801
22-01-2022,ડુંગળી સફેદ,111,250,281
22-01-2022,બાજરો,381,381,381
22-01-2022,જુવાર,301,521,571
22-01-2022,મગ,1351,1411,1451
22-01-2022,ચણા,800,931,951
22-01-2022,વાલ,571,1076,1211
22-01-2022,ચોળા / ચોળી,601,1076,1076
22-01-2022,સોયાબીન,1176,1221,1261
22-01-2022,અજમાં,1376,2176,2176
22-01-2022,ગોગળી,801,991,1161
24-01-2022,કપાસ બી. ટી.,1001,1851,2051
24-01-2022,ઘઉં લોકવન,390,424,450
24-01-2022,ઘઉં ટુકડા,396,440,516
24-01-2022,મગફળી જીણી,810,1050,1241
24-01-2022,મગફળી જાડી જુની,775,1061,1156
24-01-2022,સિંગ ફાડીયા,900,1266,1436
24-01-2022,એરંડા / એરંડી,1191,1216,1241
24-01-2022,જીરૂ,2500,3341,3561
24-01-2022,ધાણા,1201,1761,1881
24-01-2022,મરચા સૂકા પટ્ટો,601,2601,3151
24-01-2022,ડુંગળી લાલ,101,381,471
24-01-2022,અડદ,601,1100,1331
24-01-2022,મઠ,1681,1681,1681
24-01-2022,તુવેર,826,1251,1331
24-01-2022,રાય,1441,1491,1491
24-01-2022,મેથી,1141,1151,1191
24-01-2022,તલ - તલી,1451,2071,2185
24-01-2022,ઇસબગુલ,2501,2501,2501
24-01-2022,ધાણી,1251,1801,3121
24-01-2022,ડુંગળી સફેદ,111,286,346
24-01-2022,બાજરો,301,341,341
24-01-2022,જુવાર,371,511,541
24-01-2022,મકાઇ,391,391,391
24-01-2022,મગ,1031,1381,1441
